,name,hasAttribute,hasConsequence,hasValue
0,Advanced Behavioral Neuroscience,1,1,1
1,Advanced Molecular Biology,1,1,0
2,Advanced Statistical Theories,1,1,0
3,Advanced Statistical Mechanics,1,1,1
4,Advanced Statistical Methods,1,1,1
5,Advanced Business Strategies,1,1,0
6,Advanced Mathematical Theory,1,1,1
7,Advanced Statistical Methods,1,1,0
8,Advanced Statistics for Behavourial Science,1,1,1
9,Advanced Business Strategy,1,1,0
10,Advanced Data Analysis,1,1,1
11,Data Analysis Methods,1,1,0
12,Advanced Data Structures,1,1,0
13,Advanced Statistics Theory,1,1,1
14,Advanced Theories in Psychology,1,1,0
15,Advanced Qualitative Research Methods,1,1,0
16,Advanced Macroeconomics,1,1,0
17,Applied Microeconomics,1,1,0
18,Advanced Molecular Biology,1,1,1
19,Advanced Economics,1,1,0
